Unnamed: 0,league,split,week,game,date,patchno,side,team,teamdragkills,elders,herald,teambaronkills,totalgold,earnedgpm,cspm
202,LCK,2019-2,1.1,3,2019-06-05 07:42:12.999974400,9.11,Blue,Gen.G,1.0,0.0,1.0,1.0,68263.0,1279.1875589066915,35.96606974552309
203,LCK,2019-2,1.1,3,2019-06-05 07:42:12.999974400,9.11,Red,Damwon Gaming,3.0,0.0,0.0,1.0,62234.0,1108.7163053722902,36.220546654099905
214,LCK,2019-2,1.2,1,2019-06-06 01:17:52.999987200,9.11,Blue,Sandbox Gaming,4.0,0.0,1.0,1.0,64737.0,1271.8156590683848,34.222001982160556
215,LCK,2019-2,1.2,1,2019-06-06 01:17:52.999987200,9.11,Red,Hanwha Life Esports,1.0,0.0,0.0,0.0,51733.0,885.1754212091182,29.79187314172448
226,LCK,2019-2,1.2,2,2019-06-06 03:51:59.999990400,9.11,Blue,Hanwha Life Esports,0.0,0.0,0.0,0.0,56053.0,966.6814244465833,30.63522617901829
227,LCK,2019-2,1.2,2,2019-06-06 03:51:59.999990400,9.11,Red,Sandbox Gaming,5.0,0.0,1.0,2.0,70375.0,1380.2136669874874,36.987487969201155
238,LCK,2019-2,1.2,1,2019-06-06 04:52:04.999987200,9.11,Blue,Griffin,3.0,0.0,1.0,1.0,71171.0,1226.2704126426688,34.02985074626866
239,LCK,2019-2,1.2,1,2019-06-06 04:52:04.999987200,9.11,Red,Afreeca Freecs,3.0,1.0,0.0,1.0,66496.0,1103.13608428446,31.47497805092186
250,LCK,2019-2,1.2,2,2019-06-06 06:58:58.999987200,9.11,Blue,Afreeca Freecs,7.0,2.0,1.0,4.0,92494.0,1392.0175953079174,34.83870967741935
251,LCK,2019-2,1.2,2,2019-06-06 06:58:58.999987200,9.11,Red,Griffin,0.0,0.0,0.0,0.0,81750.0,1155.7126099706745,37.34604105571847
262,LCK,2019-2,1.2,3,2019-06-06 08:07:11.999971200,9.11,Blue,Griffin,3.0,0.0,1.0,1.0,56573.0,1387.8188405797105,32.02898550724637
263,LCK,2019-2,1.2,3,2019-06-06 08:07:11.999971200,9.11,Red,Afreeca Freecs,1.0,0.0,0.0,0.0,43279.0,906.1521739130437,30.217391304347824
274,LCS,2019-2,2,1,2019-06-08 15:31:37.000041600,9.11,Blue,Cloud9,3.0,0.0,1.0,1.0,64780.0,1138.6304647952138,29.572020248504373
275,LCS,2019-2,2,1,2019-06-08 15:31:37.000041600,9.11,Red,Echo Fox,2.0,0.0,0.0,0.0,59341.0,988.4509894155543,32.388403129314305
286,LCS,2019-2,2,1,2019-06-08 16:48:41.999990400,9.11,Blue,Team Liquid,3.0,0.0,1.0,2.0,59227.0,1299.3105726872247,32.08149779735683
287,LCS,2019-2,2,1,2019-06-08 16:48:41.999990400,9.11,Red,100 Thieves,0.0,0.0,0.0,0.0,45537.0,846.9977973568283,32.24669603524229
298,LCS,2019-2,2,1,2019-06-08 17:38:32.000035200,9.11,Blue,Team SoloMid,0.0,0.0,1.0,0.0,39188.0,907.4909578030812,30.301406563965173
299,LCS,2019-2,2,1,2019-06-08 17:38:32.000035200,9.11,Red,FlyQuest,3.0,0.0,0.0,1.0,48667.0,1288.4286671131952,34.7622237106497
310,LCS,2019-2,2,1,2019-06-08 18:28:17.000025600,9.11,Blue,OpTic Gaming,2.0,0.0,1.0,1.0,54910.0,1210.8830874006812,33.40522133938706
311,LCS,2019-2,2,1,2019-06-08 18:28:17.000025600,9.11,Red,Counter Logic Gaming,0.0,0.0,0.0,0.0,45131.0,877.8864926220206,32.690124858115766
322,LCS,2019-2,2,1,2019-06-08 19:23:22.000041599,9.11,Blue,Clutch Gaming,4.0,0.0,1.0,1.0,61789.0,1277.8123044838374,35.78727841501564
323,LCS,2019-2,2,1,2019-06-08 19:23:22.000041599,9.11,Red,Golden Guardians,1.0,0.0,0.0,0.0,51536.0,957.0719499478624,33.81647549530761
334,LCS,2019-2,2,2,2019-06-09 13:31:57.000028800,9.11,Blue,Counter Logic Gaming,4.0,0.0,1.0,2.0,68690.0,1243.176848874598,33.017914561322925
335,LCS,2019-2,2,2,2019-06-09 13:31:57.000028800,9.11,Red,Team Liquid,2.0,0.0,0.0,0.0,60096.0,1006.3187873220027,32.93523197060175
346,LCS,2019-2,2,2,2019-06-09 14:44:25.000022400,9.11,Blue,100 Thieves,0.0,0.0,0.0,0.0,61991.0,1029.1462093862815,30.189530685920577
347,LCS,2019-2,2,2,2019-06-09 14:44:25.000022400,9.11,Red,Clutch Gaming,6.0,0.0,1.0,3.0,69512.0,1232.7833935018052,28.456678700361014
358,LCS,2019-2,2,2,2019-06-09 15:44:50.999971200,9.11,Blue,Echo Fox,1.0,0.0,1.0,1.0,60854.0,1034.0147601476017,32.020295202952035
359,LCS,2019-2,2,2,2019-06-09 15:44:50.999971200,9.11,Red,Team SoloMid,4.0,0.0,0.0,1.0,68211.0,1237.6217712177122,30.830258302583022
370,LCS,2019-2,2,2,2019-06-09 16:44:47.000025600,9.11,Blue,Golden Guardians,4.0,0.0,0.0,1.0,65285.0,1191.584195672625,33.27375352775165
371,LCS,2019-2,2,2,2019-06-09 16:44:47.000025600,9.11,Red,Cloud9,0.0,0.0,1.0,1.0,58222.0,992.252116650988,28.588899341486357
382,LCS,2019-2,2,2,2019-06-09 17:45:44.000035200,9.11,Blue,FlyQuest,2.0,0.0,0.0,0.0,48036.0,887.4536689876808,31.815747188002142
383,LCS,2019-2,2,2,2019-06-09 17:45:44.000035200,9.11,Red,OpTic Gaming,2.0,0.0,1.0,1.0,56873.0,1171.4493840385644,33.004820567755765
394,LEC,2019-2,1,1,2019-06-07 10:10:14.999980800,9.11,Blue,G2 Esports,2.0,0.0,1.0,0.0,48299.0,1450.4615384615383,35.604395604395606
395,LEC,2019-2,1,1,2019-06-07 10:10:14.999980800,9.11,Red,Splyce,0.0,0.0,0.0,0.0,37223.0,963.6043956043956,30.505494505494504
406,LEC,2019-2,1,1,2019-06-07 11:34:17.000025600,9.11,Blue,Origen,1.0,0.0,0.0,1.0,58269.0,1423.4561717352415,32.27191413237925
407,LEC,2019-2,1,1,2019-06-07 11:34:17.000025600,9.11,Red,Vitality,1.0,0.0,1.0,0.0,46195.0,991.4704830053669,33.38103756708408
418,LEC,2019-2,1,1,2019-06-07 12:31:17.999990399,9.11,Blue,Rogue,0.0,0.0,0.0,0.0,43656.0,874.9167643610784,26.447831184056266
419,LEC,2019-2,1,1,2019-06-07 12:31:17.999990399,9.11,Red,Misfits,4.0,0.0,1.0,1.0,56889.0,1340.32121922626,35.06447831184056
430,LEC,2019-2,1,1,2019-06-07 13:27:31.999996800,9.11,Blue,Fnatic,3.0,0.0,1.0,1.0,61511.0,1320.5013390465986,34.51526513122657
431,LEC,2019-2,1,1,2019-06-07 13:27:31.999996800,9.11,Red,SK Gaming,1.0,0.0,0.0,0.0,46460.0,836.805570433851,32.32994108194965
442,LEC,2019-2,1,1,2019-06-07 14:24:52.000012800,9.11,Blue,Schalke 04,3.0,0.0,1.0,1.0,75115.0,1187.1947946319642,34.11142740951606
443,LEC,2019-2,1,1,2019-06-07 14:24:52.000012800,9.11,Red,Excel Esports,1.0,0.0,0.0,1.0,67308.0,996.7027246848312,32.91581943879625
454,LEC,2019-2,1,2,2019-06-08 09:20:05.999971200,9.11,Blue,Excel Esports,4.0,0.0,0.0,0.0,62880.0,947.6449704142012,32.434488588334744
455,LEC,2019-2,1,2,2019-06-08 09:20:05.999971200,9.11,Red,Rogue,2.0,1.0,1.0,1.0,73159.0,1208.312764158918,33.550295857988175
466,LEC,2019-2,1,2,2019-06-08 10:49:48.000000000,9.11,Blue,SK Gaming,3.0,0.0,0.0,1.0,63372.0,1208.675477239354,30.36710719530103
467,LEC,2019-2,1,2,2019-06-08 10:49:48.000000000,9.11,Red,Schalke 04,0.0,0.0,1.0,1.0,60329.0,1119.3069016152715,29.339207048458146
478,LEC,2019-2,1,2,2019-06-08 11:49:36.000019200,9.11,Blue,Splyce,1.0,0.0,0.0,1.0,54391.0,1271.232682060391,33.8898756660746
479,LEC,2019-2,1,2,2019-06-08 11:49:36.000019200,9.11,Red,Vitality,2.0,0.0,1.0,0.0,48331.0,1055.9573712255774,32.93072824156305
490,LEC,2019-2,1,2,2019-06-08 12:45:00.999993600,9.11,Blue,Misfits,5.0,0.0,0.0,0.0,68194.0,1058.4,30.95
491,LEC,2019-2,1,2,2019-06-08 12:45:00.999993600,9.11,Red,Fnatic,1.0,0.0,1.0,2.0,78568.0,1317.75,33.825
502,LEC,2019-2,1,2,2019-06-08 13:53:46.000032000,9.11,Blue,Origen,1.0,0.0,0.0,0.0,61207.0,1076.4948259642524,30.47977422389464
503,LEC,2019-2,1,2,2019-06-08 13:53:46.000032000,9.11,Red,G2 Esports,4.0,0.0,1.0,1.0,71197.0,1358.4327375352775,33.10442144873001
514,LCK,2019-2,1.3,1,2019-06-07 00:50:56.999961600,9.11,Blue,SK Telecom T1,2.0,1.0,1.0,1.0,84349.0,1197.6183206106869,36.00872410032715
515,LCK,2019-2,1.3,1,2019-06-07 00:50:56.999961600,9.11,Red,Jin Air Green Wings,4.0,1.0,0.0,2.0,85149.0,1215.0665212649944,34.00218102508178
526,LCK,2019-2,1.3,2,2019-06-07 04:05:10.000032000,9.11,Blue,Jin Air Green Wings,3.0,1.0,0.0,2.0,82110.0,1231.8979824895316,30.856490293110014
527,LCK,2019-2,1.3,2,2019-06-07 04:05:10.000032000,9.11,Red,SK Telecom T1,3.0,0.0,1.0,0.0,76410.0,1101.71145793681,36.977540921202895
538,LCK,2019-2,1.3,3,2019-06-07 05:08:29.999990400,9.11,Blue,SK Telecom T1,3.0,0.0,0.0,0.0,61164.0,1292.0127388535034,37.070063694267525
539,LCK,2019-2,1.3,3,2019-06-07 05:08:29.999990400,9.11,Red,Jin Air Green Wings,1.0,0.0,1.0,1.0,50675.0,957.9681528662421,33.248407643312106
550,LCK,2019-2,1.3,1,2019-06-07 06:07:33.000038400,9.11,Blue,Kingzone DragonX,2.0,0.0,1.0,2.0,58795.0,1176.6915887850466,32.46105919003115
551,LCK,2019-2,1.3,1,2019-06-07 06:07:33.000038400,9.11,Red,Gen.G,2.0,0.0,0.0,0.0,48695.0,862.0498442367601,32.585669781931465
562,LCK,2019-2,1.3,2,2019-06-07 07:40:08.999990400,9.11,Blue,Gen.G,0.0,0.0,0.0,0.0,41501.0,877.7153465346536,33.08168316831683
563,LCK,2019-2,1.3,2,2019-06-07 07:40:08.999990400,9.11,Red,Kingzone DragonX,2.0,0.0,1.0,1.0,56883.0,1448.829207920792,36.757425742574256
574,LCK,2019-2,1.4,1,2019-06-08 01:41:56.999990400,9.11,Blue,Hanwha Life Esports,2.0,0.0,1.0,2.0,61453.0,1183.9641255605375,29.77578475336323
575,LCK,2019-2,1.4,1,2019-06-08 01:41:56.999990400,9.11,Red,KT Rolster,1.0,0.0,0.0,0.0,49978.0,840.9147982062777,31.62929745889387
586,CBLoL,2019-2P,SF,3,2019-08-25 12:57:38.999980800,9.16,Blue,KaBuM,1.0,0.0,0.0,0.0,43730.0,900.5714285714287,31.357142857142854
587,CBLoL,2019-2P,SF,3,2019-08-25 12:57:38.999980800,9.16,Red,INTZ,3.0,0.0,1.0,1.0,55721.0,1328.8214285714287,32.42857142857143
598,LCK,2019-2,1.4,2,2019-06-08 03:50:47.000025600,9.11,Blue,KT Rolster,3.0,1.0,1.0,3.0,87509.0,1110.045984671776,30.669776741086306
599,LCK,2019-2,1.4,2,2019-06-08 03:50:47.000025600,9.11,Red,Hanwha Life Esports,4.0,1.0,0.0,1.0,90137.0,1162.58847050983,33.04898367210929
610,LCK,2019-2,1.4,1,2019-06-08 05:41:57.000019200,9.11,Blue,Damwon Gaming,2.0,0.0,1.0,0.0,42482.0,884.504854368932,34.33252427184466
611,LCK,2019-2,1.4,1,2019-06-08 05:41:57.000019200,9.11,Red,Griffin,2.0,0.0,0.0,1.0,58745.0,1476.6043689320388,42.77912621359224
622,LCK,2019-2,1.4,2,2019-06-08 06:46:34.000003200,9.11,Blue,Griffin,3.0,0.0,1.0,2.0,77372.0,1350.82393456737,38.484718037021096
623,LCK,2019-2,1.4,2,2019-06-08 06:46:34.000003200,9.11,Red,Damwon Gaming,1.0,0.0,0.0,0.0,66196.0,1062.162720619888,37.03831252690486
634,LCK,2019-2,1.5,1,2019-06-09 01:45:45.999993600,9.11,Blue,Sandbox Gaming,1.0,0.0,0.0,1.0,60172.0,1099.6157205240174,34.61426491994177
635,LCK,2019-2,1.5,1,2019-06-09 01:45:45.999993600,9.11,Red,Kingzone DragonX,2.0,0.0,1.0,1.0,65610.0,1257.9272197962155,33.94468704512373
646,LCK,2019-2,1.5,2,2019-06-09 03:53:44.000016000,9.11,Blue,Kingzone DragonX,1.0,0.0,1.0,1.0,56458.0,1409.284403669725,34.31192660550459
647,LCK,2019-2,1.5,2,2019-06-09 03:53:44.000016000,9.11,Red,Sandbox Gaming,2.0,0.0,0.0,0.0,46991.0,1061.8715596330276,34.935779816513765
658,LCK,2019-2,1.5,1,2019-06-09 04:47:02.000025600,9.11,Blue,Afreeca Freecs,3.0,0.0,1.0,2.0,73613.0,1151.9804639804638,30.72039072039072
659,LCK,2019-2,1.5,1,2019-06-09 04:47:02.000025600,9.11,Red,SK Telecom T1,3.0,1.0,0.0,0.0,69550.0,1052.7619047619046,32.869352869352866
670,LCK,2019-2,1.5,2,2019-06-09 06:59:13.999977600,9.11,Blue,SK Telecom T1,3.0,1.0,1.0,1.0,75522.0,1289.9410004275333,32.552372808892684
671,LCK,2019-2,1.5,2,2019-06-09 06:59:13.999977600,9.11,Red,Afreeca Freecs,3.0,0.0,0.0,0.0,65294.0,1027.572466866182,32.50106883283454
682,LCK,2019-2,1.5,3,2019-06-09 08:02:08.000016000,9.11,Blue,Afreeca Freecs,3.0,0.0,1.0,1.0,61406.0,1339.0725893824483,35.102925243770315
683,LCK,2019-2,1.5,3,2019-06-09 08:02:08.000016000,9.11,Red,SK Telecom T1,1.0,0.0,0.0,0.0,51302.0,1010.6652221018418,34.3228602383532
694,CBLoL,2019-2,1,1,2019-06-01 10:51:16.000041600,9.1,Blue,Flamengo,3.0,0.0,1.0,2.0,55713.0,1301.2042253521124,33.309859154929576
695,CBLoL,2019-2,1,1,2019-06-01 10:51:16.000041600,9.1,Red,paiN Gaming,0.0,0.0,0.0,0.0,43719.0,878.8802816901408,29.40140845070423
706,CBLoL,2019-2,1,1,2019-06-01 11:58:38.000006400,9.1,Blue,Uppercut,1.0,0.0,1.0,1.0,46777.0,1270.4740843123705,31.306150656530754
707,CBLoL,2019-2,1,1,2019-06-01 11:58:38.000006400,9.1,Red,CNB,2.0,0.0,0.0,0.0,36757.0,854.9937802349689,31.845196959225984
718,CBLoL,2019-2,1,1,2019-06-01 13:49:44.000025600,9.1,Blue,Team One,1.0,0.0,0.0,0.0,55884.0,946.0562172463077,31.729394949976182
719,CBLoL,2019-2,1,1,2019-06-01 13:49:44.000025600,9.1,Red,KaBuM,4.0,0.0,1.0,2.0,70386.0,1360.5964745116726,34.50214387803716
730,CBLoL,2019-2,1,2,2019-06-02 10:38:04.000012800,9.1,Blue,paiN Gaming,1.0,1.0,1.0,1.0,91860.0,1151.7816764132554,31.7738791423002
731,CBLoL,2019-2,1,2,2019-06-02 10:38:04.000012800,9.1,Red,CNB,5.0,1.0,0.0,2.0,91330.0,1141.450292397661,31.968810916179336
742,CBLoL,2019-2,1,2,2019-06-02 12:14:50.999999999,9.1,Blue,Uppercut,3.0,0.0,1.0,1.0,58487.0,1334.8977272727273,34.70454545454545
743,CBLoL,2019-2,1,2,2019-06-02 12:14:50.999999999,9.1,Red,Team One,1.0,0.0,0.0,0.0,43975.0,840.1704545454545,30.10227272727273
754,CBLoL,2019-2,1,2,2019-06-02 13:08:24.000000000,9.1,Blue,Redemption,1.0,0.0,0.0,0.0,58073.0,990.3080546396608,28.629298162976927
755,CBLoL,2019-2,1,2,2019-06-02 13:08:24.000000000,9.1,Red,KaBuM,4.0,0.0,1.0,1.0,68268.0,1278.4380593499766,33.12293923692887
766,CBLoL,2019-2,1,2,2019-06-02 14:12:33.999984000,9.1,Blue,INTZ,1.0,0.0,1.0,0.0,59706.0,1151.0629722921915,30.1360201511335
767,CBLoL,2019-2,1,2,2019-06-02 14:12:33.999984000,9.1,Red,Flamengo,4.0,0.0,0.0,2.0,61483.0,1204.7758186397982,33.702770780856426
778,CBLoL,2019-2,2,1,2019-06-08 10:53:51.000000000,9.11,Blue,Redemption,4.0,0.0,1.0,2.0,63207.0,1411.8625204582654,35.777414075286416
