,league,split,week,game,date,patchno,side,team,teamdragkills,elders,herald,teambaronkills,totalgold,earnedgpm,cspm
178,LCK,2019-2,1.1,1,43621.22954861111,9.11,Blue,Gen.G,2.0,0.0,1.0,0.0,55773.0,1009.3114754098362,35.08196721311476
179,LCK,2019-2,1.1,1,43621.22954861111,9.11,Red,Damwon Gaming,3.0,0.0,0.0,1.0,68611.0,1391.964232488823,36.30402384500746
190,LCK,2019-2,1.1,2,43621.28269675926,9.11,Blue,Damwon Gaming,2.0,0.0,1.0,0.0,57653.0,1062.8511904761904,36.69642857142857
191,LCK,2019-2,1.1,2,43621.28269675926,9.11,Red,Gen.G,3.0,0.0,0.0,1.0,66233.0,1318.2083333333335,36.30952380952381
202,LCK,2019-2,1.1,3,43621.32098379629,9.11,Blue,Gen.G,1.0,0.0,1.0,1.0,68263.0,1279.1875589066917,35.96606974552309
203,LCK,2019-2,1.1,3,43621.32098379629,9.11,Red,Damwon Gaming,3.0,0.0,0.0,1.0,62234.0,1108.7163053722902,36.220546654099905
214,LCK,2019-2,1.2,1,43622.054085648146,9.11,Blue,Sandbox Gaming,4.0,0.0,1.0,1.0,64737.0,1271.8156590683848,34.222001982160556
215,LCK,2019-2,1.2,1,43622.054085648146,9.11,Red,Hanwha Life Esports,1.0,0.0,0.0,0.0,51733.0,885.1754212091181,29.79187314172448
226,LCK,2019-2,1.2,2,43622.16111111111,9.11,Blue,Hanwha Life Esports,0.0,0.0,0.0,0.0,56053.0,966.6814244465832,30.635226179018286
227,LCK,2019-2,1.2,2,43622.16111111111,9.11,Red,Sandbox Gaming,5.0,0.0,1.0,2.0,70375.0,1380.2136669874876,36.987487969201155
238,LCK,2019-2,1.2,1,43622.202835648146,9.11,Blue,Griffin,3.0,0.0,1.0,1.0,71171.0,1226.2704126426688,34.02985074626866
239,LCK,2019-2,1.2,1,43622.202835648146,9.11,Red,Afreeca Freecs,3.0,1.0,0.0,1.0,66496.0,1103.13608428446,31.47497805092186
250,LCK,2019-2,1.2,2,43622.29096064815,9.11,Blue,Afreeca Freecs,7.0,2.0,1.0,4.0,92494.0,1392.0175953079176,34.83870967741935
251,LCK,2019-2,1.2,2,43622.29096064815,9.11,Red,Griffin,0.0,0.0,0.0,0.0,81750.0,1155.7126099706743,37.34604105571847
262,LCK,2019-2,1.2,3,43622.33833333333,9.11,Blue,Griffin,3.0,0.0,1.0,1.0,56573.0,1387.8188405797102,32.028985507246375
263,LCK,2019-2,1.2,3,43622.33833333333,9.11,Red,Afreeca Freecs,1.0,0.0,0.0,0.0,43279.0,906.1521739130435,30.217391304347824
274,LCS,2019-2,2,1,43624.64695601852,9.11,Blue,Cloud9,3.0,0.0,1.0,1.0,64780.0,1138.6304647952138,29.57202024850437
275,LCS,2019-2,2,1,43624.64695601852,9.11,Red,Echo Fox,2.0,0.0,0.0,0.0,59341.0,988.4509894155544,32.38840312931431
286,LCS,2019-2,2,1,43624.70048611111,9.11,Blue,Team Liquid,3.0,0.0,1.0,2.0,59227.0,1299.3105726872247,32.08149779735683
287,LCS,2019-2,2,1,43624.70048611111,9.11,Red,100 Thieves,0.0,0.0,0.0,0.0,45537.0,846.9977973568282,32.246696035242294
298,LCS,2019-2,2,1,43624.73509259259,9.11,Blue,Team SoloMid,0.0,0.0,1.0,0.0,39188.0,907.4909578030811,30.301406563965173
299,LCS,2019-2,2,1,43624.73509259259,9.11,Red,FlyQuest,3.0,0.0,0.0,1.0,48667.0,1288.4286671131952,34.7622237106497
310,LCS,2019-2,2,1,43624.769641203704,9.11,Blue,OpTic Gaming,2.0,0.0,1.0,1.0,54910.0,1210.8830874006812,33.40522133938706
311,LCS,2019-2,2,1,43624.769641203704,9.11,Red,Counter Logic Gaming,0.0,0.0,0.0,0.0,45131.0,877.8864926220206,32.69012485811577
322,LCS,2019-2,2,1,43624.80789351852,9.11,Blue,Clutch Gaming,4.0,0.0,1.0,1.0,61789.0,1277.8123044838376,35.78727841501564
323,LCS,2019-2,2,1,43624.80789351852,9.11,Red,Golden Guardians,1.0,0.0,0.0,0.0,51536.0,957.0719499478624,33.816475495307614
334,LCS,2019-2,2,2,43625.56385416666,9.11,Blue,Counter Logic Gaming,4.0,0.0,1.0,2.0,68690.0,1243.176848874598,33.017914561322925
335,LCS,2019-2,2,2,43625.56385416666,9.11,Red,Team Liquid,2.0,0.0,0.0,0.0,60096.0,1006.3187873220027,32.93523197060175
346,LCS,2019-2,2,2,43625.61417824074,9.11,Blue,100 Thieves,0.0,0.0,0.0,0.0,61991.0,1029.1462093862815,30.18953068592058
347,LCS,2019-2,2,2,43625.61417824074,9.11,Red,Clutch Gaming,6.0,0.0,1.0,3.0,69512.0,1232.7833935018052,28.45667870036101
358,LCS,2019-2,2,2,43625.65614583333,9.11,Blue,Echo Fox,1.0,0.0,1.0,1.0,60854.0,1034.0147601476015,32.02029520295203
359,LCS,2019-2,2,2,43625.65614583333,9.11,Red,Team SoloMid,4.0,0.0,0.0,1.0,68211.0,1237.6217712177122,30.830258302583026
370,LCS,2019-2,2,2,43625.6977662037,9.11,Blue,Golden Guardians,4.0,0.0,0.0,1.0,65285.0,1191.584195672625,33.27375352775165
